,0
0,"[(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (2, 3), (2, 4), (2, 5), (2, 6), (3, 4), (3, 5), (3, 6), (4, 5), (4, 6), (5, 6)]"
1,"[(0, 4), (0, 5), (0, 7), (0, 8), (0, 9), (0, 11), (1, 2), (1, 3), (1, 4), (1, 6), (1, 10), (1, 12), (2, 3), (2, 4), (2, 6), (2, 10), (2, 12), (3, 4), (3, 6), (3, 10), (3, 12), (4, 5), (4, 6), (4, 7), (4, 8), (4, 9), (4, 10), (4, 11), (4, 12), (5, 7), (5, 8), (5, 9), (5, 11), (6, 10), (6, 12), (7, 8), (7, 9), (7, 11), (8, 9), (8, 11), (9, 11), (10, 12)]"
2,"[(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (2, 3), (2, 4), (2, 5), (2, 6), (3, 4), (3, 5), (3, 6), (4, 5), (4, 6), (5, 6)]"
3,"[(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (2, 3), (2, 4), (2, 5), (2, 6), (3, 4), (3, 5), (3, 6), (4, 5), (4, 6), (5, 6)]"
4,"[(0, 3), (0, 7), (0, 9), (1, 2), (1, 4), (1, 5), (1, 6), (1, 7), (1, 8), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (3, 7), (3, 9), (4, 5), (4, 6), (4, 7), (4, 8), (5, 6), (5, 7), (5, 8), (6, 7), (6, 8), (7, 8), (7, 9)]"
5,"[(0, 1), (0, 2), (0, 4), (1, 2), (1, 4), (2, 4), (3, 4), (3, 5), (3, 6), (3, 7), (4, 5), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]"
6,"[(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (2, 3), (2, 4), (2, 5), (2, 6), (3, 4), (3, 5), (3, 6), (4, 5), (4, 6), (5, 6)]"
7,"[(0, 1), (0, 2), (0, 4), (1, 2), (1, 4), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (3, 5), (3, 6), (3, 7), (5, 6), (5, 7), (6, 7)]"
8,"[(0, 1), (0, 2), (0, 3), (0, 4), (0, 6), (0, 11), (1, 2), (1, 3), (1, 4), (1, 6), (1, 11), (2, 3), (2, 4), (2, 6), (2, 11), (3, 4), (3, 5), (3, 6), (3, 7), (3, 8), (3, 9), (3, 10), (3, 11), (3, 12), (4, 6), (4, 11), (5, 7), (5, 8), (5, 9), (5, 10), (5, 12), (6, 11), (7, 8), (7, 9), (7, 10), (7, 12), (8, 9), (8, 10), (8, 12), (9, 10), (9, 12), (10, 12)]"
9,"[(0, 1), (0, 7), (0, 8), (0, 9), (0, 18), (1, 7), (1, 8), (1, 9), (1, 18), (2, 6), (2, 12), (2, 15), (2, 18), (2, 20), (2, 21), (3, 10), (3, 13), (3, 17), (3, 18), (4, 5), (4, 11), (4, 14), (4, 16), (4, 18), (4, 19), (5, 11), (5, 14), (5, 16), (5, 18), (5, 19), (6, 12), (6, 15), (6, 18), (6, 20), (6, 21), (7, 8), (7, 9), (7, 18), (8, 9), (8, 18), (9, 18), (10, 13), (10, 17), (10, 18), (11, 14), (11, 16), (11, 18), (11, 19), (12, 15), (12, 18), (12, 20), (12, 21), (13, 17), (13, 18), (14, 16), (14, 18), (14, 19), (15, 18), (15, 20), (15, 21), (16, 18), (16, 19), (17, 18), (18, 19), (18, 20), (18, 21), (20, 21)]"
10,"[(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (1, 7), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (3, 4), (3, 5), (3, 6), (3, 7), (4, 5), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]"
11,"[(0, 1), (0, 2), (0, 8), (0, 9), (0, 11), (0, 12), (0, 16), (1, 2), (1, 8), (1, 9), (1, 11), (1, 12), (1, 16), (2, 8), (2, 9), (2, 11), (2, 12), (2, 16), (3, 4), (3, 7), (3, 8), (3, 13), (3, 14), (4, 7), (4, 8), (4, 13), (4, 14), (5, 6), (5, 8), (5, 10), (5, 15), (6, 8), (6, 10), (6, 15), (7, 8), (7, 13), (7, 14), (8, 9), (8, 10), (8, 11), (8, 12), (8, 13), (8, 14), (8, 15), (8, 16), (9, 11), (9, 12), (9, 16), (10, 15), (11, 12), (11, 16), (12, 16), (13, 14)]"
12,"[(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (1, 7), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (3, 4), (3, 5), (3, 6), (3, 7), (4, 5), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]"
13,"[(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 15), (0, 16), (0, 17), (0, 18), (0, 19), (0, 20), (0, 21), (1, 8), (1, 12), (1, 17), (2, 11), (2, 13), (2, 15), (2, 19), (3, 5), (3, 7), (3, 10), (3, 16), (4, 18), (4, 20), (4, 21), (5, 7), (5, 10), (5, 16), (6, 9), (6, 14), (6, 20), (7, 10), (7, 16), (8, 12), (8, 17), (9, 14), (10, 16), (11, 13), (11, 15), (11, 19), (12, 17), (13, 15), (13, 19), (15, 19), (18, 20), (18, 21), (20, 21)]"
14,"[(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (2, 3), (2, 4), (2, 5), (2, 6), (3, 4), (3, 5), (3, 6), (4, 5), (4, 6), (5, 6)]"
